H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	11.1665
43	0
44	14.9286
45	0
46	10.3756
47	0
48	24.5638
49	13.4017
50	32.0381
51	0
52	9.51152
53	14.4444
54	0
55	0
56	0
57	0
58	12.2726
59	0
60	0
61	33.7148
62	28.0283
63	35.2801
64	14.0159
65	53.5005
66	9.45423
67	27.8977
68	10.4822
69	13.9929
70	26.3547
71	57.2025
72	119.695
73	33.3965
74	43.4062
75	29.8606
76	88.8813
77	29.8647
78	26.5416
79	93.9753
80	36.2778
81	64.49
82	26.8742
83	22.7981
84	86.3933
85	72.01
86	179.875
87	59.1622
88	115.377
89	61.5621
90	108.891
91	91.1461
92	128.112
93	72.3598
94	86.9234
95	47.7636
96	79.8812
97	63.4536
98	114.146
99	52.2436
100	145.398
101	45.587
102	117.264
103	12.1269
104	175.549
105	69.8731
106	62.5159
107	58.8994
108	58.6091
109	85.8195
110	71.9416
111	59.3846
112	34.3767
113	8.95806
114	49.2338
115	54.4684
116	62.4126
117	44.5269
118	52.6929
119	26.8744
120	0
121	44.2869
122	23.6737
123	25.0238
124	0
125	44.5877
126	14.9336
127	0
128	0
129	23.3603
130	0
131	0
132	10.5386
133	0
134	0
135	10.6852
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

