H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	1
43	0
44	1
45	0
46	1
47	0
48	2
49	1
50	2
51	0
52	1
53	1
54	0
55	0
56	0
57	0
58	1
59	0
60	0
61	2
62	2
63	3
64	1
65	4
66	1
67	2
68	1
69	1
70	2
71	4
72	9
73	3
74	3
75	2
76	7
77	2
78	2
79	7
80	3
81	5
82	2
83	2
84	6
85	6
86	13
87	5
88	10
89	4
90	9
91	7
92	9
93	6
94	7
95	4
96	6
97	4
98	9
99	4
100	11
101	3
102	9
103	1
104	12
105	5
106	5
107	5
108	4
109	6
110	5
111	4
112	2
113	1
114	3
115	4
116	5
117	4
118	3
119	2
120	0
121	3
122	2
123	2
124	0
125	3
126	1
127	0
128	0
129	2
130	0
131	0
132	1
133	0
134	0
135	1
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

