H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	11.1665
48	0
49	0
50	0
51	12.4939
52	15.8667
53	0
54	0
55	7.8284
56	0
57	0
58	0
59	12.8447
60	15.6284
61	14.7204
62	12.5235
63	0
64	13.0223
65	42.9621
66	36.1252
67	16.5477
68	21.0455
69	13.7849
70	0
71	32.1149
72	54.7503
73	83.673
74	62.2729
75	138.574
76	49.8557
77	73.7573
78	62.3658
79	127.706
80	98.8958
81	49.6559
82	65.6856
83	111.832
84	157.396
85	131.289
86	129.125
87	47.3762
88	29.341
89	41.7831
90	298.015
91	119.814
92	64.066
93	170.337
94	155.593
95	82.6116
96	119.416
97	67.4202
98	67.601
99	64.6639
100	79.0682
101	28.7639
102	45.3392
103	54.1171
104	37.4058
105	47.4987
106	9.49333
107	66.3496
108	40.2665
109	46.1758
110	11.8863
111	43.702
112	26.9915
113	58.1262
114	14.4188
115	29.5222
116	26.535
117	22.4609
118	0
119	17.9161
120	11.853
121	0
122	11.8967
123	0
124	0
125	0
126	13.0223
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	15.5571
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

