H	Length
0	1.33333
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	13.259
51	0
52	0
53	36.534
54	14.8024
55	12.1432
56	25.8247
57	46.0523
58	11.1665
59	46.5345
60	81.8928
61	37.582
62	10.7336
63	56.6478
64	0
65	21.9775
66	37.5247
67	51.9156
68	26.9476
69	71.1618
70	62.9771
71	50.1051
72	30.716
73	91.3352
74	140.236
75	45.166
76	84.5164
77	66.0443
78	81.1497
79	62.3727
80	67.1858
81	122.223
82	76.1867
83	91.5137
84	52.9142
85	105.672
86	77.2394
87	81.8563
88	92.7052
89	53.3375
90	227.78
91	86.4745
92	96.5286
93	87.0535
94	97.6279
95	84.1382
96	80.2972
97	94.7928
98	73.0397
99	80.6656
100	95.3669
101	60.535
102	135.656
103	86.8327
104	90.1721
105	11.5384
106	76.2861
107	72.3167
108	66.0571
109	66.2078
110	58.6513
111	144.231
112	30.0856
113	46.7756
114	44.4522
115	32.0062
116	80.6974
117	26.2382
118	0
119	13.5337
120	83.7721
121	41.5056
122	43.3426
123	31.7413
124	41.7289
125	12.5806
126	43.6903
127	53.913
128	27.3838
129	0
130	0
131	0
132	28.3123
133	0
134	0
135	16.4999
136	0
137	0
138	16.0554
139	0
140	6.94244
141	8.84991
142	0
143	0
144	0
145	13.7455
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

