H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	10.7405
25	0
26	0
27	0
28	0
29	12.5413
30	0
31	0
32	0
33	30.3243
34	24.161
35	0
36	28.6244
37	12.8447
38	48.0673
39	12.4623
40	13.4017
41	10.3899
42	25.3226
43	10.0615
44	14.9286
45	38.029
46	19.0194
47	46.8781
48	103.9
49	11.3529
50	31.7249
51	36.059
52	50.8501
53	45.423
54	21.0279
55	82.9086
56	87.8901
57	123.79
58	65.9353
59	76.6411
60	71.253
61	115.742
62	99.1018
63	57.8408
64	116.991
65	74.081
66	61.892
67	106.805
68	97.0579
69	38.2598
70	87.4345
71	131.623
72	72.9525
73	40.0801
74	101.194
75	95.0249
76	42.958
77	88.2677
78	61.6686
79	38.4009
80	45.4844
81	64.4901
82	78.2565
83	38.7006
84	58.0447
85	46.1376
86	48.5443
87	57.3957
88	85.8076
89	0
90	51.5555
91	45.3473
92	32.4719
93	0
94	37.6845
95	52.2507
96	11.1908
97	68.5799
98	77.2809
99	36.972
100	31.3845
101	63.0191
102	67.9967
103	57.782
104	77.8313
105	24.9087
106	38.2494
107	63.8183
108	25.0883
109	61.2157
110	6.3983
111	52.2847
112	12.0513
113	18.2087
114	33.6196
115	31.7103
116	36.6723
117	45.126
118	21.4776
119	24.477
120	23.8979
121	29.2336
122	10.7886
123	0
124	12.6354
125	8.44736
126	0
127	38.3578
128	0
129	0
130	8.50852
131	0
132	6.29324
133	0
134	0
135	0
136	0
137	13.5282
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

