H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	10.3494
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	14.369
40	0
41	0
42	0
43	21.6937
44	0
45	0
46	0
47	0
48	0
49	10.2439
50	0
51	8.84991
52	13.4678
53	12.2222
54	17.2046
55	0
56	0
57	0
58	0
59	0
60	0
61	59.3613
62	12.0267
63	34.6846
64	0
65	0
66	10.6504
67	47.2145
68	41.2269
69	48.3773
70	12.7211
71	32.3965
72	116.952
73	26.2234
74	77.1067
75	65.5935
76	76.971
77	86.0022
78	136.237
79	25.3231
80	56.9919
81	95.4781
82	39.4443
83	49.6711
84	97.7602
85	115.472
86	112.435
87	100.534
88	120.481
89	30.0033
90	240.894
91	126.484
92	85.6298
93	145.816
94	150.463
95	172.807
96	131.047
97	131.841
98	51.1949
99	120.086
100	69.8258
101	78.0121
102	83.8326
103	49.5877
104	86.7226
105	51.9237
106	22.9248
107	63.1821
108	44.8349
109	130.306
110	31.1595
111	92.3962
112	66.4806
113	27.8665
114	28.5438
115	24.3534
116	58.3368
117	26.144
118	69.6116
119	39.9121
120	19.932
121	11.7778
122	0
123	13.8064
124	0
125	0
126	0
127	29.6461
128	0
129	0
130	0
131	0
132	0
133	22.322
134	0
135	0
136	0
137	0
138	18.2709
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

