H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	0
41	0
42	0
43	2
44	0
45	0
46	0
47	0
48	0
49	1
50	0
51	1
52	1
53	1
54	2
55	0
56	0
57	0
58	0
59	0
60	0
61	4
62	1
63	3
64	0
65	0
66	1
67	4
68	3
69	3
70	1
71	3
72	7
73	2
74	5
75	5
76	6
77	7
78	10
79	2
80	4
81	7
82	3
83	4
84	7
85	8
86	9
87	9
88	8
89	2
90	19
91	10
92	6
93	12
94	12
95	12
96	10
97	10
98	4
99	9
100	5
101	5
102	6
103	4
104	6
105	4
106	2
107	4
108	3
109	8
110	2
111	7
112	4
113	2
114	3
115	2
116	4
117	2
118	5
119	2
120	2
121	1
122	0
123	1
124	0
125	0
126	0
127	3
128	0
129	0
130	0
131	0
132	0
133	2
134	0
135	0
136	0
137	0
138	1
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

