H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	0
50	0
51	1
52	1
53	0
54	0
55	1
56	0
57	0
58	0
59	1
60	1
61	1
62	1
63	0
64	1
65	3
66	3
67	1
68	2
69	1
70	0
71	3
72	5
73	6
74	5
75	11
76	4
77	6
78	5
79	9
80	7
81	3
82	5
83	9
84	13
85	9
86	8
87	4
88	3
89	3
90	22
91	10
92	5
93	13
94	12
95	6
96	10
97	5
98	5
99	5
100	7
101	2
102	4
103	4
104	3
105	4
106	1
107	5
108	3
109	3
110	1
111	4
112	2
113	4
114	1
115	2
116	2
117	2
118	0
119	1
120	1
121	0
122	1
123	0
124	0
125	0
126	1
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	1
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

