H	Count
0	2
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	0
52	0
53	3
54	1
55	1
56	2
57	3
58	1
59	4
60	7
61	3
62	1
63	5
64	0
65	2
66	3
67	4
68	2
69	5
70	5
71	4
72	3
73	7
74	11
75	4
76	8
77	5
78	7
79	5
80	6
81	10
82	6
83	8
84	5
85	8
86	6
87	7
88	8
89	3
90	19
91	7
92	9
93	8
94	7
95	6
96	7
97	7
98	6
99	6
100	7
101	5
102	11
103	7
104	8
105	1
106	5
107	5
108	5
109	5
110	4
111	10
112	3
113	3
114	4
115	2
116	6
117	2
118	0
119	1
120	7
121	3
122	4
123	3
124	3
125	1
126	3
127	4
128	2
129	0
130	0
131	0
132	2
133	0
134	0
135	1
136	0
137	0
138	1
139	0
140	1
141	1
142	0
143	0
144	0
145	1
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

