directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,number of files,filenames
177_09,1,1081081.0168795558,2162170.0337591115,2162182.805586515,1597.5381750284046,8.2722083248385256e-230,232540.12139999995,0.090223377236659824,1966.7038994691438,0.88227786058533009,1.0,3,81.76736486843117,3.1748266202195423,0.41074631530870653,96.74978220263421,3.1748266202195423,0.41074631530870653,116.35292159557743,0.5158214409204613,0.17850736938258693,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1446310.5330605323,2892629.0661210646,2892641.837948468,533.10361526643885,7.8815564634168228e-39,321032.91080000025,0.038595681557320259,480.02978419363785,0.99997092332060333,1.0,3,82.99026402217984,3.797256979619977,0.3727687925619931,96.09352079102477,3.797256979619977,0.3727687925619931,90.38075227569855,1.1747574742728086,0.25446241487601384,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1147156.7817295326,2294321.5634590653,2294334.3352864687,12883.835772104127,0.0,226218.98880000002,0.24403646015620614,12965.269491670573,0.99855368931726807,1.0,3,72.55272364580055,0.875090245421391,0.4395135923520379,102.05172880189926,0.875090245421391,0.4395135923520379,131.09810326280103,4.837530990991669,0.1209728152959242,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1597182.2212726534,3194372.4425453069,3194385.2143727103,892.26035582556233,5.4211869563852592e-98,352105.01409999985,0.048821686718169562,805.43237225662187,0.99988925420387331,1.0,3,86.06782032099848,5.674017817959514,0.3442922572252199,98.02957686132342,5.674017817959514,0.3442922572252199,94.15192325340385,0.7646989235499503,0.3114154855495603,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2104013.918987188,4208035.837974376,4208048.6098017795,1458.7584766068412,5.2858634743828432e-203,456764.24890000001,0.05942257003423345,1626.0947243112028,0.97967287013489213,1.0,3,74.56088344941803,2.41978975904836,0.4508040935356437,90.18498742324614,2.41978975904836,0.4508040935356437,90.57051095725356,1.2158840358495244,0.09839181292871252,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1943311.3517263797,3886630.7034527594,3886643.4752801629,2174.2753674478663,0.0,384617.83920000016,0.084296347182354278,2566.7075538983404,0.99958899870463547,1.0,3,86.34433842874151,1.8294649632615436,0.3727826759455796,111.4242932208556,1.8294649632615436,0.3727826759455796,178.93842727296166,0.8891052397262078,0.25443464810884076,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1479190.8706543748,2958389.7413087497,2958402.5131361531,454.05832674876029,1.6119273524197016e-27,304810.46040000016,0.042644201669263741,549.38766439237008,0.9999499810359147,1.0,3,80.0249247432049,4.4059787202904275,0.12814852852277123,98.81414130082436,4.4059787202904275,0.12814852852277123,89.73460167445394,1.0428319236994217,0.7437029429544575,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2335682.1904592807,4671372.3809185615,4671385.1527459649,1114.2363045080783,4.634757477471709e-138,487631.01830000023,0.04515046874643449,970.37801616913578,0.99935336749744685,1.0,3,83.76092514874996,3.5395263445270295,0.26221912935689734,100.75524980030224,3.5395263445270295,0.26221912935689734,92.80788949056641,0.7925385016565144,0.4755617412862053,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1718744.3212489916,3437496.6424979833,3437509.4143253868,433.98011413489269,8.3051394383908422e-25,351429.71530000004,0.036179624344374675,461.07650321107616,0.99998084101422957,1.0,3,80.62984190045371,1.5654042839253017,0.48291330908785846,101.03845640850258,1.5654042839253017,0.48291330908785846,178.12486144902354,2.654067516683348,0.03417338182428307,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2318591.9550632439,4637191.9101264877,4637204.6819538912,643.18095406853513,7.0703082036029715e-56,522274.80490000005,0.043036755298869522,965.66223685989087,0.99806916265347101,1.0,3,89.54922010603525,5.615728124368224,0.3513218385823095,101.05073557487566,5.615728124368224,0.3513218385823095,98.71826122692528,1.1295915023368621,0.29735632283538105,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
207_09,1,739852.93422328157,1479713.8684465631,1479726.6402739666,878.57074956852921,1.3833194461083375e-95,158828.84330000001,0.071550159903011945,789.51095099330723,0.99981481716486675,1.0,3,81.04726239298591,4.957392857359366,0.28298627078231475,95.15618274690681,4.957392857359366,0.28298627078231475,89.10862492563506,0.9178909279143508,0.43402745843537044,4,"P0056_orientationJ_ImageJ.txt, P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
210_09,1,687079.49964292604,1374166.9992858521,1374179.7711132555,1678.1279700676878,1.6649668991328011e-245,145697.3995,0.10926826720847772,1785.8854341948654,0.94157979107772849,1.0,3,90.50912445970111,2.176019379886289,0.4651131004264337,108.25977834205588,2.176019379886289,0.4651131004264337,138.9127147924678,0.8326481034159223,0.06977379914713253,4,"P0061_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
213_09,1,935605.53244066495,1871219.0648813299,1871231.8367087333,1295.1419069283274,7.8242807767883898e-172,191805.69750000001,0.094075123791473883,1582.951133452003,0.99984850170494977,1.0,3,77.33055375306486,1.950749896999267,0.4445294137359681,96.43312879709795,1.950749896999267,0.4445294137359681,158.42726676372502,1.3172442260867931,0.11094117252806375,4,"P0064_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
216_09,1,2121770.6052284501,4243549.2104569003,4243561.9822843038,5398.16512718581,0.0,461414.79649999976,0.1023331775091896,4788.3570776328525,0.9449565653823887,1.0,3,92.1759982533724,2.7468029515007797,0.4623393616435685,106.58961588030934,2.7468029515007797,0.4623393616435685,54.77856353203898,0.6246170077856739,0.07532127671286305,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt"
219_09,1,1891830.3686299908,3783668.7372599817,3783681.5090873851,336.0924699109222,7.6072905063964395e-13,412274.24759999989,0.030736622416176865,384.58928594364284,0.99999826537400738,1.0,3,84.48287364400969,2.8426544605157065,0.45630521279836894,98.81182219419446,2.8426544605157065,0.45630521279836894,115.46905032343244,0.2361675846231745,0.08738957440326206,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
222_09,1,2028189.5831543969,4056387.1663087937,4056399.9381361972,889.56957929659472,1.6138292810836383e-97,440458.73060000018,0.044232963812600487,853.98549970413092,0.99924048116201292,1.0,3,88.57705963033344,4.881411698575054,0.327115629886121,101.84722350236578,4.881411698575054,0.327115629886121,96.26049887255104,0.8024227930197099,0.34576874022775805,4,"P0078_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
