directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,number of files,filenames
177_09,1,1084225.1416458383,2168454.2832916765,2168460.6692053783,8082.616140057984,0.0,232540.12139999995,0.18607865916607719,8220.7638591255582,0.52000805815541529,1.0,2,82.87872407979042,1.9999471718049877,0.5,97.86114141399348,1.9999471718049877,0.5,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1448692.6271668065,2897389.254333613,2897395.6402473147,5818.3359512681182,0.0,321032.91080000025,0.12500720319085287,5993.4269292937561,0.0001761057490874407,1.0,2,83.37353351881696,2.510646406601568,0.5,96.47679028766188,2.510646406601568,0.5,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1148718.7999823771,2297441.5999647542,2297447.9858784559,16059.022475894755,0.0,226218.98880000002,0.27218682541188549,16154.717665722348,0.99886160852792993,1.0,2,81.782059035314,0.8491844073922475,0.5,111.28106419141268,0.8491844073922475,0.5,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1611804.4917646684,3223612.9835293368,3223619.3694430385,34255.21477464067,0.0,352105.01409999985,0.28698432420742953,34386.122753513671,0.00047121929467852652,1.0,2,86.6181840316667,2.225519350294747,0.5,98.57994057199164,2.225519350294747,0.5,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2104102.0355394213,4208208.0710788425,4208214.4569925442,1665.2869944035594,1.6217487697399785e-241,456764.24890000001,0.061948616897046963,1866.1008056017479,0.77689611082797005,1.0,2,75.18910945344348,2.2273549917832853,0.5,90.81321342727158,2.2273549917832853,0.5,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1948092.2917499582,3896188.5834999164,3896194.9694136181,11713.856240649491,0.0,384617.83920000016,0.17829921917994349,11747.438531370542,0.99866896952308537,1.0,2,87.8635060057826,0.8330290043594907,0.5,112.94346079789668,0.8330290043594907,0.5,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1480388.4803487128,2960780.9606974255,2960787.3466111273,2853.3134861059607,0.0,304810.46040000016,0.098344101238802925,2918.083059433141,0.97254569526092993,1.0,2,80.19769503750263,1.4487635048665266,0.5,98.98691159512207,1.4487635048665266,0.5,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2339763.884706106,4679531.7694122121,4679538.1553259138,9464.9059426678778,0.0,487631.01830000023,0.13897407544415286,9590.2983890287087,0.51179657007040791,1.0,2,84.17424097611985,1.6003507142199989,0.5,101.1685656276721,1.6003507142199989,0.5,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1719743.761400234,3439491.5228004679,3439497.9087141696,2500.2984805156857,0.0,351429.71530000004,0.0832743424658548,2567.5999093697569,0.68235157994556495,1.0,2,80.94569043537463,1.3585399898412303,0.5,101.3543049434235,1.3585399898412303,0.5,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2333416.5569329998,4666837.1138659995,4666843.4997797012,36196.144715054092,0.0,522274.80490000005,0.23162872542076693,36392.59378938756,0.00046357621687931339,1.0,2,90.24971013918469,2.6405469861777218,0.5,101.75122560802508,2.6405469861777218,0.5,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
207_09,1,743091.72935538797,1486187.4587107759,1486193.8446244777,7898.1389963104839,0.0,158828.84330000001,0.2113243631121032,7997.4317532285859,0.00023160782225972731,1.0,2,81.58266996001039,1.927153547352404,0.5,95.69159031393129,1.927153547352404,0.5,4,"P0056_orientationJ_ImageJ.txt, P0057_orientationJ_ImageJ.txt, P0058_orientationJ_ImageJ.txt, P0055_orientationJ_ImageJ.txt"
210_09,1,687309.23055790609,1374622.4611158122,1374628.8470295139,2125.1748881542821,0.0,145697.3995,0.12296924185013321,2205.1012065845839,0.96960580079623115,1.0,2,91.5483333652859,1.885028193808367,0.5,109.29898724764067,1.885028193808367,0.5,4,"P0061_orientationJ_ImageJ.txt, P0062_orientationJ_ImageJ.txt, P0059_orientationJ_ImageJ.txt, P0060_orientationJ_ImageJ.txt"
213_09,1,937763.19031538314,1875530.3806307663,1875536.766544468,5773.5399855214137,0.0,191805.69750000001,0.17184710679233003,5793.7948239442248,0.62574310728809901,1.0,2,78.274852795729,1.3510444979066272,0.5,97.3774278397621,1.3510444979066272,0.5,4,"P0064_orientationJ_ImageJ.txt, P0065_orientationJ_ImageJ.txt, P0063_orientationJ_ImageJ.txt, P0066_orientationJ_ImageJ.txt"
216_09,1,2124592.3807120714,4249188.7614241429,4249195.1473378446,11238.151998144445,0.0,461414.79649999976,0.16158640287327125,11365.952371079296,0.9999645406074289,1.0,2,92.11032702084091,2.195064422726815,0.5,106.52394464777785,2.195064422726815,0.5,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0068_orientationJ_ImageJ.txt"
219_09,1,1894301.1269290219,3788606.2538580438,3788612.6397717455,5907.0593299097773,0.0,412274.24759999989,0.10853016002953243,6063.0244368306494,0.00016969791149723523,1.0,2,84.9706340137196,2.227281402014804,0.5,99.29958256390437,2.227281402014804,0.5,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
222_09,1,2039872.4986693913,4079748.9973387825,4079755.3832524843,26136.039054219866,0.0,440458.73060000018,0.23349380851404611,26254.489650798419,0.00042498110162025871,1.0,2,88.970632712366,2.0674607597494297,0.5,102.24079658439835,2.0674607597494297,0.5,4,"P0078_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
225_09,1,1419618.7426412276,2839241.4852824551,2839247.8711961568,14702.101248778416,0.0,288545.67290000006,0.23134390562160848,14725.064159788848,0.99986768103103241,1.0,2,95.45364901839207,1.2478255165012833,0.5,113.89641029080511,1.2478255165012833,0.5,4,"P0080_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
228_09,1,1578690.7891562574,3157385.5783125148,3157391.9642262165,1885.9223430200202,8.7259922343495509e-285,320267.95419999992,0.076659700154970631,1956.7968874214509,0.88085914129698872,1.0,2,69.83229905628737,1.2696796491536313,0.5,91.62269878110276,1.2696796491536313,0.5,4,"P0086_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0084_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
231_09,1,1370655.5508096826,2741315.1016193652,2741321.4875330669,9283.2681863137477,0.0,274205.22279999999,0.19896600305711318,9308.79195006999,1.0,1.0,2,74.17799297206122,1.102626118503999,0.5,100.02329024456165,1.102626118503999,0.5,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt"
234_09,1,1585590.0523553775,3171184.1047107549,3171190.4906244567,4401.0950504595849,0.0,313031.07149999979,0.11773031089212517,4434.3543543101914,0.7330802150953093,1.0,2,86.73905072375015,0.8719300344156278,0.5,114.60194109022986,0.8719300344156278,0.5,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
237_09,1,1801870.2209794875,3603744.441958975,3603750.8278726768,4105.0594964486681,0.0,369864.8137,0.11089516095400395,4157.2130923647828,0.99999204700769206,1.0,2,74.93100492828653,1.4199630038031519,0.5,94.79506014690071,1.4199630038031519,0.5,4,"P0002_orientationJ_ImageJ.txt, P0001_orientationJ_ImageJ.txt, P0003_orientationJ_ImageJ.txt, P0004_orientationJ_ImageJ.txt"
240_09,1,1945838.3172789169,3891680.6345578339,3891687.0204715356,652.86722848535442,1.4652159048338405e-56,397407.49119999976,0.043149672728634764,731.7087470646311,0.99969977600258764,1.0,2,82.84770358536785,1.3663127731640847,0.5,103.96463173439952,1.3663127731640847,0.5,4,"P0005_orientationJ_ImageJ.txt, P0008_orientationJ_ImageJ.txt, P0007_orientationJ_ImageJ.txt, P0006_orientationJ_ImageJ.txt"
243_09,1,2385338.5838353825,4770681.167670765,4770687.5535844667,39898.064090696324,0.0,520812.52530000021,0.26001253121527168,40084.547066748069,0.00052981287205644545,1.0,2,92.17186067812511,2.2236482382947527,0.5,104.37187143746927,2.2236482382947527,0.5,4,"P0010_orientationJ_ImageJ.txt, P0009_orientationJ_ImageJ.txt, P0012_orientationJ_ImageJ.txt, P0011_orientationJ_ImageJ.txt"
246_09,1,1210942.0101769704,2421888.0203539408,2421894.4062676425,29951.211563579061,0.0,287540.56150000007,0.2103421637290861,30022.070432178596,0.00030182601535366782,1.0,2,90.60120406755601,3.9303846767792843,0.5,99.86427168968248,3.9303846767792843,0.5,4,"P0015_orientationJ_ImageJ.txt, P0013_orientationJ_ImageJ.txt, P0016_orientationJ_ImageJ.txt, P0014_orientationJ_ImageJ.txt"
249_09,1,1666805.1529879551,3333614.3059759103,3333620.691889612,5792.4756864000819,0.0,323851.06249999983,0.13675204666405408,5799.1630708277198,0.9976483024844861,1.0,2,82.28860326094181,0.5102099075179763,0.5,114.23040171672464,0.5102099075179763,0.5,4,"P0018_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
252_09,1,2329484.8303782758,4658973.6607565517,4658980.0466702534,9440.8701823345273,0.0,482006.21929999982,0.14146337923439012,9515.3526798106632,0.94249455474582466,1.0,2,85.97602184913198,1.5040372809340403,0.5,103.63778408361253,1.5040372809340403,0.5,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
255_09,1,2264557.9082591231,4529119.8165182462,4529126.2024319479,1572.3012574155944,1.8136475069515281e-223,449214.51070000033,0.060239503235852226,1611.6414271223214,0.9926564009791925,1.0,2,78.6376625630613,0.9311775412005691,0.5,104.16797258871986,0.9311775412005691,0.5,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0025_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
