directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,number of files,filenames
366_09,1,1202373.5042366667,2404753.0084733334,2404762.587343886,6358.8284528570202,0.0,248706.83449999991,0.1616518011920397,6391.0244136326201,0.96258019040457754,1.0,2,85.5922016497753,1.4009168193333605,0.5,85.59223923456346,1.4009168193333605,0.5,4,"P0178_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0177_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt"
369_09,1,3128278.0594596737,6256562.1189193474,6256571.6977899,3812.1185382348367,0.0,621912.89439999999,0.079165735978535684,3879.5178953041168,0.9421192436935989,1.0,2,81.91202272072805,0.8615871265601373,0.5,81.91193126353308,0.8615871265601373,0.5,4,"P0180_orientationJ_ImageJ.txt, P0181_orientationJ_ImageJ.txt, P0182_orientationJ_ImageJ.txt, P0179_orientationJ_ImageJ.txt"
372_09,1,2872290.9201279306,5744587.8402558612,5744597.4191264138,2158.5229014140118,0.0,602140.99919999973,0.0618229015565121,2324.2000226178516,0.94672743065516918,1.0,2,100.58669488933135,1.5744341282993048,0.5,100.5866063543325,1.5744341282993048,0.5,4,"P0186_orientationJ_ImageJ.txt, P0184_orientationJ_ImageJ.txt, P0183_orientationJ_ImageJ.txt, P0185_orientationJ_ImageJ.txt"
375_09,1,2171913.5320923082,4343833.0641846163,4343842.6430551689,10942.72663141096,0.0,463611.35120000027,0.14565972513153827,11008.835687970746,0.00026261112066594539,1.0,2,94.92933205714489,1.8128649335557587,0.5,94.9293765018837,1.8128649335557587,0.5,4,"P0187_orientationJ_ImageJ.txt, P0190_orientationJ_ImageJ.txt, P0188_orientationJ_ImageJ.txt, P0189_orientationJ_ImageJ.txt"
378_09,1,2687705.0339396386,5375416.0678792773,5375425.6467498299,3364.786270919079,0.0,552360.93429999996,0.079607381909505351,3514.9761280759367,0.91629601578087372,1.0,2,99.20275283289247,1.3172118139660935,0.5,99.20306920112574,1.3172118139660935,0.5,4,"P0195_orientationJ_ImageJ.txt, P0194_orientationJ_ImageJ.txt, P0191_orientationJ_ImageJ.txt, P0193_orientationJ_ImageJ.txt"
381_09,1,2028834.3013059485,4057674.602611897,4057684.1814824496,3673.7823331340146,0.0,419629.4797999998,0.093401904688434206,3765.9964503306569,0.72495710884254505,1.0,2,92.20527428003382,1.400060481047597,0.5,92.20527518950482,1.400060481047597,0.5,4,"P0197_orientationJ_ImageJ.txt, P0199_orientationJ_ImageJ.txt, P0198_orientationJ_ImageJ.txt, P0196_orientationJ_ImageJ.txt"
384_09,1,1781215.0493371934,3562436.0986743867,3562445.6775449393,3100.5101188123672,0.0,353023.43349999998,0.093352797101756618,3131.1853183205162,0.86583393039343881,1.0,2,89.21924822174026,0.8141460586664281,0.5,89.2191639909658,0.8141460586664281,0.5,4,"P0203_orientationJ_ImageJ.txt, P0201_orientationJ_ImageJ.txt, P0200_orientationJ_ImageJ.txt, P0202_orientationJ_ImageJ.txt"
387_09,1,3563213.3770298725,7126432.754059745,7126442.3329302976,627.03462527653426,1.878823047634282e-52,728410.1222999997,0.032355608669987053,774.07304613773306,0.99865913759873737,1.0,2,80.06473125006123,1.334845387457309,0.5,97.50736956824332,1.334845387457309,0.5,4,"P0204_orientationJ_ImageJ.txt, P0205_orientationJ_ImageJ.txt, P0206_orientationJ_ImageJ.txt, P0207_orientationJ_ImageJ.txt"
390_09,1,1307784.9020467107,2615575.8040934214,2615585.382963974,7560.1985597376788,0.0,266945.71140000003,0.1683567098217198,7577.4354315840055,0.83122219391077723,1.0,2,106.07922605895989,1.2283681103666109,0.5,106.0792264194105,1.2283681103666109,0.5,4,"P0209_orientationJ_ImageJ.txt, P0210_orientationJ_ImageJ.txt, P0211_orientationJ_ImageJ.txt, P0208_orientationJ_ImageJ.txt"
393_09,1,1262576.6963588903,2525159.3927177805,2525168.9715883331,1232.1788632087416,1.0616557384822162e-158,273037.08309999999,0.066763198183225514,1337.5334519506716,0.78941832302128634,1.0,2,89.59684874926718,1.9917136524379064,0.5,89.59689521200026,1.9917136524379064,0.5,4,"P0214_orientationJ_ImageJ.txt, P0215_orientationJ_ImageJ.txt, P0216_orientationJ_ImageJ.txt, P0217_orientationJ_ImageJ.txt"
396_09,1,2057803.2730079116,4115612.5460158233,4115622.1248863759,7458.0690747526987,0.0,433302.07910000003,0.12985671218314249,7555.254296731523,0.34126229785629891,1.0,2,91.51350381957285,1.6319943123794267,0.5,91.51353523839335,1.6319943123794267,0.5,4,"P0221_orientationJ_ImageJ.txt, P0220_orientationJ_ImageJ.txt, P0219_orientationJ_ImageJ.txt, P0218_orientationJ_ImageJ.txt"
399_09,1,1804319.5069831687,3608645.0139663373,3608654.5928368899,5470.9525644491214,0.0,354086.24180000019,0.12630055433757445,5487.5452622605053,0.98840382156057627,1.0,2,93.57742315488781,0.6478252774505003,0.5,93.57751910529574,0.6478252774505003,0.5,4,"P0224_orientationJ_ImageJ.txt, P0223_orientationJ_ImageJ.txt, P0222_orientationJ_ImageJ.txt, P0225_orientationJ_ImageJ.txt"
402_09,1,1478899.5501778158,2957805.1003556317,2957814.6792261843,1166.4105401023855,1.8308267075177008e-146,299850.66819999996,0.064481431234341746,1206.0386252202134,0.99910362069788194,1.0,2,78.1303951022378,1.250843450551466,0.5,99.12701161465405,1.250843450551466,0.5,4,"P0227_orientationJ_ImageJ.txt, P0228_orientationJ_ImageJ.txt, P0226_orientationJ_ImageJ.txt, P0229_orientationJ_ImageJ.txt"
405_09,1,1815502.7530004357,3631011.5060008713,3631021.0848714239,5432.2436554732067,0.0,377808.53099999996,0.11299977046533768,5541.7055988171896,0.00026378041110564077,1.0,2,86.93238665368965,1.4790817099345823,0.5,86.93238273615657,1.4790817099345823,0.5,4,"P0233_orientationJ_ImageJ.txt, P0230_orientationJ_ImageJ.txt, P0232_orientationJ_ImageJ.txt, P0231_orientationJ_ImageJ.txt"
408_09,1,1174633.738004026,2349273.476008052,2349283.0548786046,1285.1547410145226,1.2352617595446283e-168,255637.60590000002,0.071321163227505119,1409.6717488541428,0.82461059571274575,1.0,2,90.84454656236689,2.081986212692229,0.5,90.84454654604818,2.081986212692229,0.5,4,"P0237_orientationJ_ImageJ.txt, P0235_orientationJ_ImageJ.txt, P0236_orientationJ_ImageJ.txt, P0234_orientationJ_ImageJ.txt"
411_09,1,2500256.2798328209,5000518.5596656417,5000528.1385361943,764.29403767719123,6.8152083577155574e-75,503284.92350000015,0.040927416240143684,833.95938133015147,0.99937982216096832,1.0,2,91.59525808740062,1.1348044440977623,0.5,112.26266368079929,1.1348044440977623,0.5,4,"P0239_orientationJ_ImageJ.txt, P0238_orientationJ_ImageJ.txt, P0241_orientationJ_ImageJ.txt, P0240_orientationJ_ImageJ.txt"
414_09,1,1450015.7303178716,2900037.4606357431,2900047.0395062957,1486.5724527034081,6.0719864584411806e-207,293475.78199999995,0.074565168710822222,1521.8890193397931,0.99985558201015701,1.0,2,65.6971972158173,1.5131243014634663,0.5,102.41603163205234,1.5131243014634663,0.5,4,"P0242_orientationJ_ImageJ.txt, P0243_orientationJ_ImageJ.txt, P0244_orientationJ_ImageJ.txt, P0245_orientationJ_ImageJ.txt"
417_09,1,1294847.7285286789,2589701.4570573578,2589711.0359279104,1565.3119592764992,4.0747349244601138e-222,265908.59289999987,0.077804822544073254,1619.1892206792625,0.98200021636461365,1.0,2,88.93887363368201,1.30740340419538,0.5,88.93885888524021,1.30740340419538,0.5,4,"P0249_orientationJ_ImageJ.txt, P0247_orientationJ_ImageJ.txt, P0248_orientationJ_ImageJ.txt, P0246_orientationJ_ImageJ.txt"
423_09,1,1137417.2537040152,2274840.5074080303,2274850.0862785829,7623.4530464864138,0.0,230464.14810000014,0.17223638421881074,7655.9312927727378,0.00029187172559008712,1.0,2,86.85347342360063,1.1304734725670222,0.5,86.85347378153521,1.1304734725670222,0.5,4,"P0252_orientationJ_ImageJ.txt, P0251_orientationJ_ImageJ.txt, P0253_orientationJ_ImageJ.txt, P0250_orientationJ_ImageJ.txt"
