directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,mu2,kappa2,prob2,number of files,filenames
177_09,1,1080783.6706333777,2161577.3412667555,2161593.3060510098,1010.658071316401,3.8478704119448217e-119,232540.12139999995,0.067089713397293457,1120.0246948890297,0.9440292820352274,1.0,3,78.7874819670475,4.562978491188186,0.2828342190596724,93.76989930125053,4.562978491188186,0.2828342190596724,99.42363565387278,1.125895129982471,0.43433156188065514,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1446194.5272908516,2892399.0545817032,2892415.0193659575,295.64906268894146,1.0457869014859629e-08,321032.91080000025,0.03907942409372471,483.2944853658538,0.99998594534552354,1.0,3,83.88386917322207,3.6735861251768394,0.39422355489178684,96.98712594206701,3.6735861251768394,0.39422355489178684,86.67455858906314,1.0445726343690764,0.21155289021642637,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1142355.0751136392,2284720.1502272785,2284736.1150115328,3190.6461207300786,0.0,226218.98880000002,0.12117357340209722,3224.9289342880274,0.99181339209726849,1.0,3,96.7355556685018,0.8488639132798268,0.40802331128279595,126.23456082460048,0.8488639132798268,0.40802331128279595,66.5933879067019,8.27891382638623,0.18395337743440815,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1597090.3267910741,3194190.6535821483,3194206.6183664026,716.26251193849384,8.2049572446684195e-68,352105.01409999985,0.05247454816661612,951.13052273913001,0.99923459808386139,1.0,3,86.62944666145054,5.606606633930535,0.3477968773655841,98.5912032017755,5.606606633930535,0.3477968773655841,92.56774895894146,0.7399806251914464,0.30440624526883175,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2103868.0152903758,4207746.0305807516,4207761.9953650059,1160.2696600429008,1.4210315133515527e-146,456764.24890000001,0.05422367769655894,1364.8550492049401,0.98305622661803116,1.0,3,75.18671504055153,2.286345905419405,0.4979236248637284,90.81081901437962,2.286345905419405,0.4979236248637284,172.51479039394542,6.00132899924335,0.004152750272543193,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1942490.1752320032,3884990.3504640064,3885006.3152482607,568.55261451099125,3.542344337067102e-44,384617.83920000016,0.039959868488955483,613.28481107722837,0.99984570589764721,1.0,3,81.64076442658167,3.76510273520105,0.22898291083038144,106.72071921869576,3.76510273520105,0.22898291083038144,142.0871846633044,0.26639395691535045,0.5420341783392372,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1479178.9058950101,2958367.8117900202,2958383.7765742745,431.99002821383834,1.5277947824584347e-24,304810.46040000016,0.04068019311212652,505.15495422183881,0.99995946261623159,1.0,3,78.91478525344391,4.699159474535962,0.11918848158332669,97.70400181106335,4.699159474535962,0.11918848158332669,90.28288499183925,1.0620379759823286,0.7616230368333466,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2335385.7260831078,4670781.4521662155,4670797.4169504698,527.92792230406462,4.6176695382673921e-38,487631.01830000023,0.037250804293211003,679.26628460787072,0.99961897059445126,1.0,3,85.61035274349123,3.340602691008152,0.28972861267059025,102.6046773950435,3.340602691008152,0.28972861267059025,88.17034107507853,0.701048608959198,0.42054277465881956,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1718739.8805377563,3437489.7610755125,3437505.7258597668,425.80783747823529,1.0034756878456048e-23,351429.71530000004,0.037668932657186016,502.43203069278809,0.99994982946869992,1.0,3,80.80920651224328,1.562468869872222,0.48323514643568016,101.21782102029212,1.562468869872222,0.48323514643568016,178.63369965286327,2.722023120406396,0.03352970712863968,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2318588.9299728568,4637187.8599457135,4637203.8247299679,637.7954795781709,5.1475611351070826e-55,522274.80490000005,0.044384231046147166,1028.8882484122357,0.99722993454154019,1.0,3,89.63696192823478,5.593940186318392,0.352532874772661,101.13847739707516,5.593940186318392,0.352532874772661,98.54775767108718,1.1212255897975338,0.294934250454678,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
