H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	1
53	1
54	0
55	1
56	1
57	0
58	2
59	1
60	0
61	4
62	5
63	2
64	3
65	2
66	1
67	4
68	4
69	4
70	5
71	3
72	4
73	2
74	3
75	6
76	5
77	3
78	9
79	6
80	8
81	11
82	8
83	11
84	8
85	8
86	13
87	19
88	12
89	8
90	17
91	16
92	7
93	11
94	15
95	6
96	15
97	9
98	9
99	4
100	8
101	9
102	9
103	5
104	5
105	6
106	10
107	5
108	2
109	4
110	5
111	6
112	2
113	3
114	3
115	3
116	2
117	3
118	2
119	3
120	1
121	5
122	2
123	2
124	3
125	2
126	1
127	0
128	1
129	0
130	0
131	1
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	1
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

