H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	0
41	0
42	0
43	0
44	0
45	2
46	1
47	1
48	0
49	1
50	0
51	1
52	0
53	1
54	0
55	0
56	2
57	0
58	2
59	3
60	3
61	2
62	3
63	3
64	2
65	2
66	2
67	7
68	6
69	6
70	7
71	7
72	6
73	5
74	4
75	9
76	6
77	4
78	10
79	5
80	9
81	8
82	10
83	9
84	10
85	10
86	10
87	17
88	10
89	3
90	15
91	13
92	11
93	7
94	14
95	8
96	9
97	8
98	5
99	11
100	6
101	10
102	3
103	3
104	7
105	7
106	4
107	4
108	5
109	4
110	2
111	6
112	3
113	4
114	3
115	4
116	2
117	3
118	1
119	1
120	1
121	0
122	2
123	3
124	0
125	2
126	2
127	0
128	0
129	0
130	0
131	0
132	0
133	1
134	1
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

