H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	1
56	1
57	0
58	0
59	0
60	1
61	2
62	2
63	2
64	1
65	0
66	2
67	0
68	7
69	1
70	3
71	5
72	3
73	4
74	8
75	9
76	5
77	12
78	5
79	8
80	4
81	11
82	8
83	13
84	12
85	10
86	16
87	15
88	12
89	0
90	34
91	15
92	13
93	10
94	19
95	8
96	16
97	12
98	9
99	7
100	4
101	9
102	3
103	3
104	6
105	2
106	4
107	3
108	3
109	4
110	6
111	2
112	0
113	1
114	1
115	0
116	3
117	1
118	2
119	0
120	0
121	1
122	1
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	1
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

