H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	16.0554
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	12.3568
53	12.2222
54	0
55	14.2378
56	10.9093
57	0
58	29.728
59	11.0532
60	0
61	57.6756
62	65.3
63	27.8266
64	44.1306
65	28.2493
66	12.3428
67	61.8641
68	60.581
69	63.0212
70	63.4706
71	34.5048
72	56.9259
73	34.801
74	34.8294
75	82.788
76	64.4115
77	34.8297
78	118.369
79	100.515
80	108.87
81	137.09
82	108.215
83	130.656
84	100.699
85	109.439
86	168.548
87	242.227
88	155.177
89	123.568
90	214.005
91	222.516
92	86.3057
93	136.929
94	209.537
95	86.1718
96	195.908
97	133.824
98	112.322
99	49.7953
100	105.961
101	125.124
102	114.3
103	62.8471
104	64.3029
105	85.9924
106	137.737
107	76.8239
108	24.8772
109	44.5614
110	66.9483
111	79.6026
112	31.2822
113	35.1323
114	44.1581
115	45.5262
116	26.5349
117	42.5397
118	27.8444
119	38.5069
120	12.8447
121	74.2042
122	26.1968
123	27.1194
124	31.623
125	23.5598
126	8.88888
127	0
128	10.2728
129	0
130	0
131	16.3692
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	13.7796
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

