directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,mu1,kappa1,prob1,number of files,filenames
177_09,1,1084439.2144088526,2168880.4288177053,2168883.6217745561,8321.6734508271766,0.0,232540.12139999995,0.19217405878396621,8105.7418279612766,0.99984894202370211,1.0,2,81.76736486843117,1.9961757831886369,0.5,96.74978220263421,1.9961757831886369,0.5,4,"P0025_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt, P0026_orientationJ_ImageJ.txt"
180_09,1,1448741.6789863547,2897485.3579727095,2897488.5509295603,5888.6322025107484,0.0,321032.91080000025,0.12280072988214392,5825.9916031427065,0.00017287710356372887,1.0,2,82.99026402217984,2.510113314804275,0.5,96.09352079102477,2.510113314804275,0.5,4,"P0028_orientationJ_ImageJ.txt, P0027_orientationJ_ImageJ.txt, P0018_orientationJ_ImageJ.txt, P0017_orientationJ_ImageJ.txt"
183_09,1,1151528.5337536216,2303059.0675072432,2303062.2604640941,21138.115653639932,0.0,226218.98880000002,0.32720025366930094,20572.624376546246,1.0,1.0,2,72.55272364580055,0.7877842842068534,0.5,102.05172880189926,0.7877842842068534,0.5,4,"P0029_orientationJ_ImageJ.txt, P0019_orientationJ_ImageJ.txt, P0020_orientationJ_ImageJ.txt, P0030_orientationJ_ImageJ.txt"
186_09,1,1611900.5028807553,3223803.0057615107,3223806.1987183616,34387.675634026105,0.0,352105.01409999985,0.28608363595661374,34225.239551163606,0.00046725835990890641,1.0,2,86.06782032099848,2.2245996240941586,0.5,98.02957686132342,2.2245996240941586,0.5,4,"P0022_orientationJ_ImageJ.txt, P0024_orientationJ_ImageJ.txt, P0021_orientationJ_ImageJ.txt, P0023_orientationJ_ImageJ.txt"
189_09,1,2104256.990249279,4208515.9804985579,4208519.1734554088,1964.421225745938,2.608525552542788e-300,456764.24890000001,0.058858005602369347,1674.982769192437,0.85492839601557569,1.0,2,74.56088344941803,2.226004943158943,0.5,90.18498742324614,2.226004943158943,0.5,4,"P0032_orientationJ_ImageJ.txt, P0034_orientationJ_ImageJ.txt, P0033_orientationJ_ImageJ.txt, P0031_orientationJ_ImageJ.txt"
192_09,1,1948227.3299681989,3896456.6599363978,3896459.8528932487,11931.246775563581,0.0,384617.83920000016,0.1798656989042394,11803.069217743419,0.99989835680753958,1.0,2,86.34433842874151,0.8310137481794193,0.5,111.4242932208556,0.8310137481794193,0.5,4,"P0035_orientationJ_ImageJ.txt, P0037_orientationJ_ImageJ.txt, P0038_orientationJ_ImageJ.txt, P0036_orientationJ_ImageJ.txt"
195_09,1,1480392.4647703338,2960786.9295406677,2960790.1224975185,2859.7977572780628,0.0,304810.46040000016,0.097675732916825034,2881.0050628203994,0.97166057620171498,1.0,2,80.0249247432049,1.4487125857433603,0.5,98.81414130082436,1.4487125857433603,0.5,4,"P0041_orientationJ_ImageJ.txt, P0039_orientationJ_ImageJ.txt, P0042_orientationJ_ImageJ.txt, P0040_orientationJ_ImageJ.txt"
198_09,1,2339807.4995665946,4679616.9991331892,4679620.1920900401,9534.1746684946665,0.0,487631.01830000023,0.13793709188151199,9466.2274894448747,0.47902762463732895,1.0,2,83.76092514874996,1.6001540352277384,0.5,100.75524980030224,1.6001540352277384,0.5,4,"P0043_orientationJ_ImageJ.txt, P0045_orientationJ_ImageJ.txt, P0046_orientationJ_ImageJ.txt, P0044_orientationJ_ImageJ.txt"
201_09,1,1719757.3065731346,3439516.6131462692,3439519.8061031201,2523.6819330410508,0.0,351429.71530000004,0.082263894367453197,2509.2361348810009,0.68285318798918548,1.0,2,80.62984190045371,1.3584059477070705,0.5,101.03845640850258,1.3584059477070705,0.5,4,"P0047_orientationJ_ImageJ.txt, P0048_orientationJ_ImageJ.txt, P0049_orientationJ_ImageJ.txt, P0050_orientationJ_ImageJ.txt"
204_09,1,2333706.9583802614,4667415.9167605229,4667419.1097173737,36696.417003074326,0.0,522274.80490000005,0.23064873079634998,36171.463920080983,0.00046580455824996037,1.0,2,89.54922010603525,2.638159523357707,0.5,101.05073557487566,2.638159523357707,0.5,4,"P0054_orientationJ_ImageJ.txt, P0052_orientationJ_ImageJ.txt, P0053_orientationJ_ImageJ.txt, P0051_orientationJ_ImageJ.txt"
