H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	0
27	0
28	0
29	1
30	0
31	0
32	0
33	2
34	2
35	0
36	2
37	1
38	4
39	1
40	1
41	1
42	2
43	1
44	1
45	4
46	2
47	4
48	8
49	1
50	2
51	3
52	5
53	4
54	2
55	8
56	7
57	9
58	6
59	6
60	6
61	11
62	9
63	5
64	10
65	6
66	5
67	10
68	8
69	3
70	7
71	10
72	6
73	3
74	9
75	8
76	3
77	8
78	6
79	4
80	4
81	5
82	7
83	3
84	5
85	4
86	4
87	5
88	8
89	0
90	5
91	4
92	3
93	0
94	4
95	4
96	1
97	5
98	7
99	3
100	3
101	5
102	6
103	5
104	6
105	2
106	3
107	5
108	2
109	5
110	1
111	4
112	1
113	2
114	3
115	3
116	3
117	4
118	2
119	2
120	2
121	2
122	1
123	0
124	1
125	1
126	0
127	3
128	0
129	0
130	1
131	0
132	1
133	0
134	0
135	0
136	0
137	1
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

