H	Count
0	4
1	1
2	0
3	0
4	2
5	2
6	0
7	1
8	2
9	0
10	0
11	1
12	1
13	0
14	0
15	2
16	0
17	2
18	0
19	1
20	1
21	3
22	0
23	5
24	6
25	1
26	1
27	4
28	6
29	2
30	3
31	3
32	4
33	2
34	3
35	1
36	3
37	5
38	2
39	2
40	0
41	1
42	1
43	3
44	1
45	7
46	1
47	2
48	0
49	4
50	2
51	2
52	1
53	3
54	5
55	4
56	4
57	3
58	4
59	6
60	2
61	10
62	8
63	5
64	5
65	6
66	2
67	6
68	3
69	2
70	5
71	4
72	8
73	3
74	3
75	4
76	2
77	3
78	5
79	4
80	3
81	3
82	9
83	6
84	7
85	5
86	3
87	2
88	3
89	2
90	10
91	2
92	2
93	1
94	2
95	6
96	6
97	2
98	1
99	4
100	4
101	1
102	4
103	5
104	1
105	3
106	2
107	3
108	5
109	3
110	2
111	1
112	0
113	1
114	3
115	1
116	2
117	2
118	2
119	2
120	1
121	4
122	2
123	1
124	2
125	3
126	1
127	0
128	2
129	6
130	0
131	1
132	2
133	2
134	3
135	2
136	2
137	1
138	0
139	2
140	1
141	0
142	5
143	0
144	0
145	0
146	0
147	1
148	1
149	1
150	0
151	0
152	1
153	1
154	0
155	0
156	1
157	0
158	1
159	1
160	1
161	0
162	0
163	1
164	0
165	0
166	0
167	1
168	1
169	1
170	1
171	0
172	0
173	1
174	0
175	0
176	0
177	1
178	2
179	1

