H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	8.41221
13	9.59423
14	21.5594
15	0
16	13.9204
17	9.55813
18	14.7573
19	0
20	12.3028
21	12.3808
22	13.7437
23	0
24	10.0419
25	0
26	12.4226
27	22.5631
28	11.936
29	0
30	22.7146
31	33.6152
32	41.6725
33	61.0792
34	72.8596
35	43.8389
36	39.1139
37	21.5572
38	134.415
39	92.785
40	66.1886
41	72.4169
42	64.0103
43	76.0856
44	23.5723
45	66.6295
46	76.2302
47	52.6934
48	66.7321
49	92.2212
50	86.3567
51	159.542
52	73.5595
53	96.4946
54	88.9177
55	59.6067
56	82.8357
57	123.295
58	62.8486
59	29.8808
60	100.389
61	81.7264
62	51.088
63	98.5876
64	42.5447
65	95.0653
66	10.9432
67	16.3421
68	77.6222
69	34.1764
70	60.1673
71	77.7232
72	80.4031
73	129.096
74	112.091
75	46.7835
76	30.1314
77	56.8849
78	63.7616
79	22.3607
80	23.4179
81	28.7896
82	22.659
83	25.0313
84	36.3966
85	41.0245
86	0
87	33.5821
88	20.4493
89	12.8908
90	41.5555
91	12.8965
92	33.5825
93	11.1311
94	33.6614
95	22.3332
96	10.9702
97	12.5413
98	0
99	11.2524
100	22.8388
101	12.6822
102	42.3745
103	53.2528
104	36.49
105	34.4014
106	12.7289
107	0
108	26.704
109	78.0907
110	49.0795
111	0
112	60.8723
113	34.4326
114	37.7944
115	10.8343
116	42.4359
117	33.9906
118	12.929
119	33.326
120	44.9342
121	39.5986
122	25.2759
123	0
124	11.6513
125	14.4922
126	34.6225
127	0
128	9.64812
129	26.8311
130	0
131	40.9324
132	14.784
133	25.15
134	0
135	11.4719
136	7.7012
137	0
138	10.7036
139	38.4455
140	0
141	0
142	0
143	0
144	0
145	0
146	14.6076
147	0
148	0
149	0
150	12.7347
151	0
152	0
153	0
154	8.84712
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

