H	Length
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	15.412
25	0
26	0
27	0
28	0
29	0
30	21.9151
31	0
32	0
33	0
34	0
35	0
36	10.4893
37	9.02396
38	21.518
39	26.5181
40	29.9366
41	37.4628
42	38.8513
43	0
44	28.2862
45	56.5699
46	36.4677
47	91.3807
48	70.9953
49	12.2927
50	24.6416
51	87.4585
52	0
53	83.915
54	63.3946
55	153.674
56	23.8524
57	142.777
58	141.129
59	87.7718
60	10.7497
61	97.0489
62	124.346
63	109.718
64	97.4148
65	35.2017
66	117.537
67	53.488
68	56.0823
69	38.9619
70	47.1622
71	55.7969
72	30.9944
73	66.6672
74	75.8566
75	42.6875
76	115.4
77	114.372
78	63.4546
79	20.3538
80	9.90073
81	0
82	75.9951
83	24.5896
84	39.7574
85	13.601
86	0
87	39.374
88	30.674
89	31.1143
90	64.2238
91	62.9091
92	50.4937
93	41.6411
94	101.412
95	95.3694
96	32.6637
97	35.1999
98	49.9093
99	56.1156
100	25.1044
101	92.3067
102	73.5402
103	73.1412
104	48.6162
105	74.6674
106	71.433
107	117.866
108	38.6503
109	57.566
110	62.9428
111	60.167
112	146.669
113	55.8491
114	41.9693
115	67.787
116	73.3446
117	44.6295
118	96.8711
119	24.4772
120	41.5423
121	73.8991
122	70.9026
123	8.01233
124	58.313
125	52.4153
126	40.6677
127	52.1377
128	33.2136
129	0
130	23.3326
131	26.9256
132	19.6576
133	23.2644
134	41.6434
135	10.215
136	0
137	0
138	0
139	11.6661
140	0
141	30.992
142	9.51152
143	0
144	10.9792
145	16.4579
146	10.416
147	12.0841
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	11.0599
158	14.3604
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	9.06491
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

