H	Length
0	50.6699
1	13.7849
2	0
3	0
4	29.4178
5	25.8936
6	0
7	12.3208
8	26.3059
9	0
10	0
11	12.0288
12	20.7537
13	0
14	0
15	31.1659
16	0
17	26.5667
18	0
19	11.5256
20	16.8801
21	43.9897
22	0
23	60.1107
24	78.3658
25	12.3248
26	15.7025
27	50.0948
28	90.3977
29	27.5636
30	41.6556
31	32.8145
32	54.2508
33	32.6061
34	39.3254
35	14.6734
36	37.1559
37	64.7123
38	20.4075
39	31.7253
40	0
41	14.4871
42	17.9244
43	33.3261
44	16.1856
45	78.0993
46	9.43332
47	20.9137
48	0
49	42.0853
50	22.7341
51	34.8102
52	13.4678
53	41.4676
54	64.9956
55	48.0811
56	56.9503
57	35.2638
58	47.4892
59	70.5444
60	32.7453
61	112.461
62	105.56
63	73.443
64	69.8786
65	68.913
66	22.4973
67	76.5141
68	38.7077
69	27.7004
70	76.821
71	48.208
72	107.393
73	33.6096
74	35.0435
75	49.1016
76	21.021
77	42.7599
78	71.6047
79	52.1758
80	29.3
81	43.3709
82	123.486
83	80.2969
84	105.587
85	73.1182
86	50.3188
87	24.0259
88	47.5686
89	27.7813
90	133.561
91	18.6721
92	24.9143
93	10.0222
94	24.9523
95	74.5632
96	79.1936
97	30.4858
98	12.5708
99	61.0476
100	54.4812
101	7.49649
102	51.9191
103	52.3361
104	11.4805
105	32.2959
106	29.1823
107	29.868
108	55.7269
109	36.5486
110	23.4863
111	13.8653
112	0
113	8.25817
114	36.3963
115	9.64044
116	21.1684
117	17.4921
118	17.2037
119	18.4126
120	18.3316
121	45.3932
122	16.8904
123	8.01233
124	20.2809
125	35.3913
126	14.6228
127	0
128	22.6285
129	59.6665
130	0
131	10.0762
132	26.1146
133	17.7625
134	28.4453
135	27.8139
136	17.4484
137	16.2039
138	0
139	26.1771
140	13.5719
141	0
142	61.7845
143	0
144	0
145	0
146	0
147	9.49333
148	11.7778
149	9.26162
150	0
151	0
152	8.2492
153	13.1186
154	0
155	0
156	10.1544
157	0
158	8.37691
159	13.9929
160	10.8229
161	0
162	0
163	9.49333
164	0
165	0
166	0
167	10.6782
168	12.6822
169	20.0948
170	12.1655
171	0
172	0
173	11.853
174	0
175	0
176	0
177	12.6744
178	26.6752
179	15.3349

