directory,converged,nllf,aic,bic,chisquare,chisquare p-value,n_observations,effect size,chisquare(e),chisquare(e) p-value,chisquare(e) power,n_components,mu0,kappa0,prob0,number of files,filenames
288_09,1,1967460.0722189441,3934924.1444378882,3934930.5303515899,2663.0701314027833,0.0,413318.89480000007,0.083711507462056467,2823.3772237198004,0.99053661215983257,1.0,1,93.81861967614645,1.601706738387394,1.0,4,"P0071_orientationJ_ImageJ.txt, P0069_orientationJ_ImageJ.txt, P0070_orientationJ_ImageJ.txt, P0072_orientationJ_ImageJ.txt"
291_09,1,1462719.1332538098,2925442.2665076195,2925448.6524213213,6003.2292170068213,0.0,286966.87069999997,0.13701192878327034,6008.5051267689269,0.0018238188316918036,1.0,1,117.66811121430405,0.642548382440198,1.0,4,"P0073_orientationJ_ImageJ.txt, P0075_orientationJ_ImageJ.txt, P0074_orientationJ_ImageJ.txt, P0076_orientationJ_ImageJ.txt"
294_09,1,1918094.5041499848,3836193.0082999696,3836199.3942136713,1528.7530315090335,1.2082565548118634e-213,381287.01470000012,0.063231917455840739,1565.1781210505619,0.95965971390009597,1.0,1,100.25692021285552,0.8601136395158837,1.0,4,"P0078_orientationJ_ImageJ.txt, P0080_orientationJ_ImageJ.txt, P0079_orientationJ_ImageJ.txt, P0077_orientationJ_ImageJ.txt"
297_09,1,2118832.6648927182,4237669.3297854364,4237675.7156991381,2959.4621595258359,0.0,462296.20450000017,0.077221571560264657,3158.8132633221694,0.019778327331560708,1.0,1,89.6443561438095,2.1186721397760677,1.0,4,"P0084_orientationJ_ImageJ.txt, P0083_orientationJ_ImageJ.txt, P0082_orientationJ_ImageJ.txt, P0081_orientationJ_ImageJ.txt"
300_09,1,1666047.8189469415,3332099.637893883,3332106.0238075848,2754.2133164379748,0.0,357722.68759999995,0.092228640495980604,2927.1399878125967,0.99640657414459122,1.0,1,107.23122183281528,1.8925659557833583,1.0,4,"P0086_orientationJ_ImageJ.txt, P0088_orientationJ_ImageJ.txt, P0087_orientationJ_ImageJ.txt, P0085_orientationJ_ImageJ.txt"
303_09,1,2717238.3758422094,5434480.7516844189,5434487.1375981206,2641.5101142598323,0.0,551819.40869999991,0.070132284382329185,2748.02022681069,0.91605474812154442,1.0,1,85.80543180122137,1.1608379117768983,1.0,4,"P0091_orientationJ_ImageJ.txt, P0090_orientationJ_ImageJ.txt, P0089_orientationJ_ImageJ.txt, P0092_orientationJ_ImageJ.txt"
306_09,1,2589275.9966545729,5178555.9933091458,5178562.3792228475,5262.556282451319,0.0,546674.13949999982,0.094383999808603514,5402.6961980643446,0.006808353061151573,1.0,1,84.7559868509683,1.6671156158665192,1.0,4,"P0093_orientationJ_ImageJ.txt, P0094_orientationJ_ImageJ.txt, P0096_orientationJ_ImageJ.txt, P0095_orientationJ_ImageJ.txt"
309_09,1,1953773.8105787626,3907551.6211575251,3907558.0070712268,3758.7420519009743,0.0,394996.68699999998,0.098533773493900648,3797.7135868380478,0.95928558310315337,1.0,1,97.20820127930965,1.1005273639030686,1.0,4,"P0097_orientationJ_ImageJ.txt, P0100_orientationJ_ImageJ.txt, P0098_orientationJ_ImageJ.txt, P0099_orientationJ_ImageJ.txt"
312_09,1,1624474.7612396399,3248953.5224792799,3248959.9083929816,4622.2228067770329,0.0,358357.73800000013,0.10882829535919654,4843.1776242502056,0.001045371178819976,1.0,1,93.60640501195921,2.2827464641885915,1.0,4,"P0103_orientationJ_ImageJ.txt, P0104_orientationJ_ImageJ.txt, P0101_orientationJ_ImageJ.txt, P0102_orientationJ_ImageJ.txt"
315_09,1,2055341.329470692,4110686.6589413839,4110693.0448550857,10338.223924823315,0.0,446559.65500000003,0.14350531269056485,10445.291744630404,0.00025600720891094664,1.0,1,87.62889567523985,2.0579705237979113,1.0,4,"P0107_orientationJ_ImageJ.txt, P0105_orientationJ_ImageJ.txt, P0108_orientationJ_ImageJ.txt, P0106_orientationJ_ImageJ.txt"
318_09,1,2837588.481049011,5675180.962098022,5675187.3480117237,7842.0883528649692,0.0,594048.04340000008,0.11251368812806942,7977.0937632016594,0.056781155575912901,1.0,1,88.22923971630551,1.556548513613611,1.0,4,"P0112_orientationJ_ImageJ.txt, P0110_orientationJ_ImageJ.txt, P0111_orientationJ_ImageJ.txt, P0109_orientationJ_ImageJ.txt"
321_09,1,1464133.6856557664,2928271.3713115328,2928277.7572252345,12510.416493690611,0.0,318179.59600000014,0.18406833035959619,12654.269165803646,0.00027085479623123465,1.0,1,91.93389095028598,2.061126437365885,1.0,4,"P0116_orientationJ_ImageJ.txt, P0114_orientationJ_ImageJ.txt, P0113_orientationJ_ImageJ.txt, P0115_orientationJ_ImageJ.txt"
324_09,1,2486940.9077242021,4973885.8154484043,4973892.201362106,1299.7523624429225,4.4903357815314314e-170,496733.57899999991,0.051349081111503117,1353.9701989936434,0.96658237659767332,1.0,1,115.34431089953742,0.9310773565905728,1.0,4,"P0120_orientationJ_ImageJ.txt, P0118_orientationJ_ImageJ.txt, P0119_orientationJ_ImageJ.txt, P0117_orientationJ_ImageJ.txt"
327_09,1,2434026.21486955,4868056.4297390999,4868062.8156528017,3677.87225413137,0.0,514758.54859999992,0.086045027889521425,3827.4778031474716,0.90457383146380099,1.0,1,87.90946506763424,1.689183589918896,1.0,4,"P0122_orientationJ_ImageJ.txt, P0121_orientationJ_ImageJ.txt, P0123_orientationJ_ImageJ.txt, P0124_orientationJ_ImageJ.txt"
330_09,1,2625915.2508487324,5251834.5016974648,5251840.8876111666,5007.6129645001765,0.0,557266.2834999999,0.092432361124904466,5213.5291495019901,0.026149828918286877,1.0,1,101.40206962085709,1.7349883513816142,1.0,4,"P0128_orientationJ_ImageJ.txt, P0127_orientationJ_ImageJ.txt, P0129_orientationJ_ImageJ.txt, P0126_orientationJ_ImageJ.txt"
333_09,1,2141378.2642115243,4282760.5284230486,4282766.9143367503,3708.9167862511795,0.0,483401.71799999982,0.091461535904752228,3957.62645270847,0.98160624330345103,1.0,1,86.77258955685063,2.657920009111347,1.0,4,"P0130_orientationJ_ImageJ.txt, P0133_orientationJ_ImageJ.txt, P0132_orientationJ_ImageJ.txt, P0131_orientationJ_ImageJ.txt"
336_09,1,2530906.068112656,5061816.136225312,5061822.5221390137,18752.393856868413,0.0,562283.98410000035,0.16685588612704394,19036.613530508665,0.00033082217774016431,1.0,1,88.88022643377896,2.3930102594180456,1.0,4,"P0135_orientationJ_ImageJ.txt, P0134_orientationJ_ImageJ.txt, P0137_orientationJ_ImageJ.txt, P0136_orientationJ_ImageJ.txt"
339_09,1,1685266.7249381139,3370537.4498762279,3370543.8357899296,2988.3563948577576,0.0,332598.45929999993,0.094597969213396388,3013.1858841878038,0.9014517120423774,1.0,1,102.34224687206803,0.7460901617273025,1.0,4,"P0139_orientationJ_ImageJ.txt, P0141_orientationJ_ImageJ.txt, P0138_orientationJ_ImageJ.txt, P0140_orientationJ_ImageJ.txt"
342_09,1,2443777.8568602391,4887559.7137204781,4887566.0996341798,4617.3721052885476,0.0,490941.95209999994,0.098030320846313121,4669.4520571309822,0.95083005258169062,1.0,1,89.47674768407549,1.0134318341987798,1.0,4,"P0143_orientationJ_ImageJ.txt, P0142_orientationJ_ImageJ.txt, P0144_orientationJ_ImageJ.txt, P0145_orientationJ_ImageJ.txt"
345_09,1,1159066.9360077851,2318137.8720155703,2318144.257929272,1307.2344932295862,1.7591263782755961e-171,246371.00710000002,0.076617160660087238,1405.4444567233404,0.99811827405302445,1.0,1,96.14171620018112,1.7564073091677543,1.0,4,"P0147_orientationJ_ImageJ.txt, P0149_orientationJ_ImageJ.txt, P0148_orientationJ_ImageJ.txt, P0146_orientationJ_ImageJ.txt"
348_09,1,1245441.9451555228,2490887.8903110456,2490894.2762247473,8480.9848070473836,0.0,262880.84029999987,0.17066131675555185,8563.1064075322192,0.00024781959287079047,1.0,1,90.74602092626694,1.6636359567400163,1.0,4,"P0152_orientationJ_ImageJ.txt, P0150_orientationJ_ImageJ.txt, P0151_orientationJ_ImageJ.txt, P0153_orientationJ_ImageJ.txt"
351_09,1,2757864.5464480799,5515733.0928961597,5515739.4788098615,6882.1448714746439,0.0,576060.0612,0.10754114290253454,7043.3316722841737,0.1100701154798861,1.0,1,76.83266549570337,1.5273618147388055,1.0,4,"P0156_orientationJ_ImageJ.txt, P0154_orientationJ_ImageJ.txt, P0157_orientationJ_ImageJ.txt, P0155_orientationJ_ImageJ.txt"
354_09,1,2432022.1086857966,4864048.2173715932,4864054.603285295,3318.1853488279894,0.0,478250.80370000005,0.083515672627285348,3343.981670298956,0.92905429190467181,1.0,1,105.8170407441927,0.684693276445207,1.0,4,"P0159_orientationJ_ImageJ.txt, P0160_orientationJ_ImageJ.txt, P0158_orientationJ_ImageJ.txt, P0161_orientationJ_ImageJ.txt"
357_09,1,1152080.8277214933,2304165.6554429866,2304172.0413566884,906.10336638504464,2.835002721308155e-98,232808.35269999993,0.065433336449627996,937.09589214927144,0.99993388131394989,1.0,1,90.41468264143275,1.0941740827543496,1.0,4,"P0164_orientationJ_ImageJ.txt, P0165_orientationJ_ImageJ.txt, P0163_orientationJ_ImageJ.txt, P0162_orientationJ_ImageJ.txt"
360_09,1,1439878.7361216599,2879761.4722433197,2879767.8581570215,3203.5071614309218,0.0,303401.89479999989,0.099098587933741752,3292.5133157954106,0.11420676676641162,1.0,1,88.06073037804363,1.6412039403525622,1.0,4,"P0168_orientationJ_ImageJ.txt, P0170_orientationJ_ImageJ.txt, P0166_orientationJ_ImageJ.txt, P0167_orientationJ_ImageJ.txt"
363_09,1,2711600.9487825092,5423205.8975650184,5423212.2834787201,5795.3555201151221,0.0,542089.2137000002,0.10257066198176751,5864.8095173963638,0.5429515526588915,1.0,1,100.97742804699426,0.9439881154449055,1.0,4,"P0173_orientationJ_ImageJ.txt, P0174_orientationJ_ImageJ.txt, P0171_orientationJ_ImageJ.txt, P0172_orientationJ_ImageJ.txt"
366_09,1,1202373.5042366614,2404751.0084733227,2404757.3943870245,6358.8275748145688,0.0,248706.83449999991,0.16165182198994485,6391.0236327914354,0.96258143236143723,1.0,1,85.59222102443152,1.400916584034685,1.0,4,"P0178_orientationJ_ImageJ.txt, P0176_orientationJ_ImageJ.txt, P0177_orientationJ_ImageJ.txt, P0175_orientationJ_ImageJ.txt"
369_09,1,3128278.05945965,6256560.1189192999,6256566.5048330016,3812.1187994106817,0.0,621912.89439999999,0.079165713889036107,3879.5168691606727,0.94211821426383069,1.0,1,81.91197144142699,0.8615873493588706,1.0,4,"P0180_orientationJ_ImageJ.txt, P0181_orientationJ_ImageJ.txt, P0182_orientationJ_ImageJ.txt, P0179_orientationJ_ImageJ.txt"
372_09,1,2872290.9201279031,5744585.8402558062,5744592.226169508,2158.5230594383424,0.0,602140.99919999973,0.06182293296735638,2324.2025990109178,0.94672706962440878,1.0,1,100.58665406251357,1.5744342869094443,1.0,4,"P0186_orientationJ_ImageJ.txt, P0184_orientationJ_ImageJ.txt, P0183_orientationJ_ImageJ.txt, P0185_orientationJ_ImageJ.txt"
375_09,1,2171913.5320922849,4343831.0641845698,4343837.4500982715,10942.729369835601,0.0,463611.35120000027,0.14565967049586409,11008.835392457639,0.00026259251904880987,1.0,1,94.92934964378942,1.812865148300339,1.0,4,"P0187_orientationJ_ImageJ.txt, P0190_orientationJ_ImageJ.txt, P0188_orientationJ_ImageJ.txt, P0189_orientationJ_ImageJ.txt"
378_09,1,2687705.0339387008,5375414.0678774016,5375420.4537911033,3364.7838917888944,0.0,552360.93429999996,0.079607109721501326,3514.9442163577005,0.91630721411166538,1.0,1,99.20285045330907,1.3172126688050738,1.0,4,"P0195_orientationJ_ImageJ.txt, P0194_orientationJ_ImageJ.txt, P0191_orientationJ_ImageJ.txt, P0193_orientationJ_ImageJ.txt"
381_09,1,2028834.3013059297,4057672.6026118593,4057678.9885255611,3673.783194236752,0.0,419629.4797999998,0.093401895768437257,3765.9980327080634,0.72495085125194159,1.0,1,92.20527637018782,1.4000609196475893,1.0,4,"P0197_orientationJ_ImageJ.txt, P0199_orientationJ_ImageJ.txt, P0198_orientationJ_ImageJ.txt, P0196_orientationJ_ImageJ.txt"
384_09,1,1781215.0493371796,3562434.0986743593,3562440.484588061,3100.5101378914164,0.0,353023.43349999998,0.093352775723784379,3131.1842036396106,0.86583340786348384,1.0,1,89.21919698885303,0.814146083745412,1.0,4,"P0203_orientationJ_ImageJ.txt, P0201_orientationJ_ImageJ.txt, P0200_orientationJ_ImageJ.txt, P0202_orientationJ_ImageJ.txt"
