H	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	0
27	0
28	0
29	0
30	2
31	0
32	0
33	0
34	0
35	0
36	1
37	1
38	2
39	2
40	2
41	3
42	3
43	0
44	2
45	4
46	3
47	8
48	5
49	1
50	2
51	6
52	0
53	6
54	5
55	11
56	2
57	11
58	10
59	6
60	1
61	8
62	9
63	8
64	8
65	2
66	9
67	4
68	5
69	3
70	4
71	4
72	3
73	5
74	6
75	3
76	8
77	8
78	5
79	2
80	1
81	0
82	7
83	2
84	3
85	1
86	0
87	3
88	2
89	2
90	5
91	5
92	4
93	3
94	9
95	7
96	3
97	3
98	5
99	4
100	2
101	7
102	6
103	6
104	4
105	6
106	6
107	9
108	2
109	5
110	5
111	5
112	12
113	5
114	4
115	5
116	5
117	4
118	7
119	2
120	4
121	6
122	6
123	1
124	5
125	5
126	3
127	4
128	3
129	0
130	2
131	2
132	2
133	2
134	3
135	1
136	0
137	0
138	0
139	1
140	0
141	3
142	1
143	0
144	1
145	1
146	1
147	2
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	1
158	1
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	1
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0

